smiles,BBBP
COC(C)(C)CCn1nc(Nc2c(C)cccc2C)c2cnc(Nc3ccc(OCCN4CCCC4)cc3)nc21,1.0
Cc1cc(Nc2nc3ccc(C(=O)Nc4c(C)cccc4Cl)cc3s2)nc(NCC2CCCO2)n1,1.0
Cc1cccc(Cl)c1NC(=O)c1ccc2nc(Nc3cccc(NCCO)n3)sc2c1,1.0
Cc1cccc(Cl)c1NC(=O)c1ccc2nc(NC(=O)NC(C)(C)C)sc2c1,1.0
CNc1cc(Nc2nc3ccc(C(=O)Nc4c(C)cccc4Cl)cc3s2)ncn1,1.0
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,1.0
COC(C)(C)CCn1nc(Nc2c(C)cccc2C)c2cnc(Nc3ccc(OCCN4CCCC4)c(F)c3)nc21,1.0
Cc1cc(-c2c(Cl)cccc2Cl)cc2nnc(Nc3ccc(OCC[N+]4([O-])CCCC4)cc3)nc12,1.0
CCOc1ccccc1Oc1nc(Nc2ccc(N3CCNCC3)cc2)ncc1C(=O)Nc1c(C)cccc1C,1.0
Cc1ccc(O)cc1Nc1ccnc2cc(-c3csc(C=O)n3)ccc12,1.0
Cc1cc(-c2c(Cl)cccc2Cl)cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12,1.0
CN(C)Cc1ccc(C2CC2C(=O)Nc2nc3ccc(-c4cn[nH]c4)cc3s2)cc1,1.0
O=C(Nc1cccc(C(=O)c2ccc3c(/C=C/c4ccccn4)n[nH]c3c2)c1)c1ccccc1,1.0
CN(C)Cc1ccc([C@H]2C[C@@H]2C(=O)Nc2nc3ccc(-c4cn[nH]c4)cc3s2)cc1,1.0
Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,1.0
COc1cc(-c2ccc3c(/C=C/c4ccc(OC)c(OC)c4)n[nH]c3c2)ccc1O,1.0
C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,1.0
CCN(CC)Cc1cc([C@H]2C[C@@H]2C(=O)Nc2nc3ccc(-c4cn[nH]c4)cc3s2)ccc1OC,1.0
CNC(=O)COc1cccc(Nc2ncc(F)c(Nc3ccc4c(c3)NC(=O)C(F)(F)O4)n2)c1,1.0
c1ccc(-c2c(-c3ccc(OCCN4CCCC4)cc3)[nH]c3ncnc(NCC4SCCS4)c23)cc1,1.0
CN(C)CCOc1ccc(-c2oc3ncnc(NCC4SCCS4)c3c2-c2ccccc2)cc1,1.0
CN(C)Cc1cccc([C@H]2C[C@@H]2C(=O)Nc2nc3ccc(-c4cn[nH]c4)cc3s2)c1,1.0
Oc1cccc(Oc2ccc3c(/C=C/c4ccccc4)n[nH]c3c2)c1,1.0
CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,1.0
CC1(C)CCc2c(C(=O)Nc3cnn([C@H](c4ccccc4)C4CCS(=O)(=O)C4)c3)n[nH]c2C1,1.0
CC1(C)CCc2c(C(=O)Nc3cnn([C@H](c4ccccc4)C4CCCS(=O)(=O)C4)c3)n[nH]c2C1,1.0
C[C@@]12Cc3[nH]nc(C(=O)Nc4cnn([C@H](c5ccccc5)C5CCS(=O)(=O)CC5)c4)c3C[C@@H]1C2,1.0
CN(C)CC[C@@H](c1ccccc1)n1cc(NC(=O)c2n[nH]c3c2CCC(C)(C)C3)cn1,1.0
Nc1nc(Nc2ccc([C@H]3CC[C@H](N4CCOCC4)CC3)cc2)nn1-c1ccccn1,1.0
CN(C)Cc1ccc([C@H]2C[C@@H]2C(=O)Nc2nc3ccc(-c4cccnc4)cc3s2)cc1,1.0
C[C@@]12Cc3[nH]nc(C(=O)Nc4cnn([C@H](c5ccccc5)[C@H]5CCCCS5(=O)=O)c4)c3C[C@@H]1C2(F)F,1.0
CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)n1,1.0
CC12Cc3[nH]nc(C(=O)Nc4cnn(Cc5ccccc5)c4)c3CC1C2(F)F,1.0
CC1(C)CCc2c(C(=O)Nc3cnn([C@H](c4ccccc4)C4CCS(=O)(=O)CC4)c3)n[nH]c2C1,1.0
COc1ccc(C2CC2C(=O)Nc2nc3ccc(-c4cn[nH]c4)cc3s2)cc1,1.0
CC(C)[C@@](C)(O)[C@@H]1CN(c2nc(-c3n[nH]c4ncccc34)c(F)cc2Cl)CCN1,0.0
O=C(N[C@H](CO)c1ccc(F)c(Cl)c1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1,0.0
CC12Cc3[nH]nc(C(=O)Nc4cnn(Cc5ccccc5)c4)c3CC1C2,0.0
CC1(C)CCc2c(C(=O)Nc3cnn([C@H](c4ccccc4)C4CC[S+]([O-])CC4)c3)n[nH]c2C1,0.0
COc1ccc([C@H]2C[C@@H]2C(=O)Nc2nc3ccc(-c4cn[nH]c4)cc3s2)cc1,0.0
CC1(C)CCc2c(C(=O)Nc3cnn(Cc4ccccc4)c3)n[nH]c2C1,0.0
CC1(C)CCc2c(C(=O)Nc3cnn([C@@H](CCS(C)(=O)=O)c4ccccc4)c3)n[nH]c2C1,0.0
CN1CCN(CCCOc2cccc(CC(=O)Nc3nc(-c4c[nH]c5ncccc45)cs3)c2)CC1,0.0
O=C(Cc1cccc(OCCCC2CCNCC2)c1)Nc1nc(-c2c[nH]c3ncccc23)cs1,0.0
CS(=O)(=O)Nc1cccc(CC(=O)Nc2nc(-c3c[nH]c4ncccc34)cs2)c1,0.0
Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1NC(=O)CCN1CCN(C)CC1,0.0
CC1(C)CCc2c(C(=O)Nc3cnn([C@H](c4ccccc4)C4CCCCS4(=O)=O)c3)n[nH]c2C1,0.0
CC1(C)CCc2c(C(=O)Nc3cnn([C@@H](CS(C)(=O)=O)c4ccccc4)c3)n[nH]c2C1,0.0
CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1Cl,0.0
CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1C#N,0.0
